8  | -0.008269 | 0.000000  | 0.050916 | 0.037519 | 1.36 
9  | -0.008269 | 0.000000  | 0.067754 | 0.049004 | 1.38 
10 | -0.008269 | 0.000000  | 0.086998 | 0.062020 | 1.40 
2  | 0.000000  | 0.012461  | 0.000604 | 0.001154 | 0.52 
3  | 0.000000  | 0.012461  | 0.004229 | 0.004615 | 0.92 
4  | 0.000000  | 0.012461  | 0.011478 | 0.010384 | 1.11 
5  | 0.000000  | 0.012461  | 0.022353 | 0.018461 | 1.21 
6  | 0.000000  | 0.012461  | 0.036852 | 0.028845 | 1.28 
7  | 0.000000  | 0.012461  | 0.054975 | 0.041537 | 1.32 
8  | 0.000000  | 0.012461  | 0.076724 | 0.056536 | 1.36 
9  | 0.000000  | 0.012461  | 0.102097 | 0.073843 | 1.38 
10 | 0.000000  | 0.012461  | 0.131095 | 0.093457 | 1.40 
2  | 0.005452  | 0.000000  | 0.000323 | 0.000617 | 0.52 
3  | 0.005452  | 0.000000  | 0.002261 | 0.002468 | 0.92 
4  | 0.005452  | 0.000000  | 0.006138 | 0.005553 | 1.11 
5  | 0.005452  | 0.000000  | 0.011953 | 0.009872 | 1.21 
6  | 0.005452  | 0.000000  | 0.019706 | 0.015424 | 1.28 
7  | 0.005452  | 0.000000  | 0.029397 | 0.022211 | 1.32 
8  | 0.005452  | 0.000000  | 0.041027 | 0.030232 | 1.36 
9  | 0.005452  | 0.000000  | 0.054595 | 0.039486 | 1.38 
10 | 0.005452  | 0.000000  | 0.070101 | 0.049975 | 1.40 
2  | 0.000000  | -0.028561 | 0.001692 | 0.003232 | 0.52 
3  | 0.000000  | -0.028561 | 0.011847 | 0.012929 | 0.92 
4  | 0.000000  | -0.028561 | 0.032155 | 0.029090 | 1.11 
5  | 0.000000  | -0.028561 | 0.062618 | 0.051715 | 1.21 
6  | 0.000000  | -0.028561 | 0.103235 | 0.080805 | 1.28 
7  | 0.000000  | -0.028561 | 0.154007 | 0.116360 | 1.32 
8  | 0.000000  | -0.028561 | 0.214932 | 0.158378 | 1.36 
9  | 0.000000  | -0.028561 | 0.286013 | 0.206862 | 1.38 
10 | 0.000000  | -0.028561 | 0.367247 | 0.261809 | 1.40 
2  | 0.016819  | 0.000000  | 0.001178 | 0.002249 | 0.52 
3  | 0.016819  | 0.000000  | 0.008245 | 0.008998 | 0.92 
4  | 0.016819  | 0.000000  | 0.022378 | 0.020245 | 1.11 
5  | 0.016819  | 0.000000  | 0.043579 | 0.035991 | 1.21 
6  | 0.016819  | 0.000000  | 0.071847 | 0.056236 | 1.28 
7  | 0.016819  | 0.000000  | 0.107181 | 0.080980 | 1.32 
8  | 0.016819  | 0.000000  | 0.149582 | 0.110223 | 1.36 
9  | 0.016819  | 0.000000  | 0.199050 | 0.143965 | 1.38 
10 | 0.016819  | 0.000000  | 0.255585 | 0.182206 | 1.40 
2  | 0.000000  | -0.011618 | 0.000814 | 0.001554 | 0.52 
3  | 0.000000  | -0.011618 | 0.005695 | 0.006215 | 0.92 
4  | 0.000000  | -0.011618 | 0.015458 | 0.013985 | 1.11 
5  | 0.000000  | -0.011618 | 0.030103 | 0.024862 | 1.21 
6  | 0.000000  | -0.011618 | 0.049629 | 0.038846 | 1.28 
7  | 0.000000  | -0.011618 | 0.074037 | 0.055939 | 1.32 
8  | 0.000000  | -0.011618 | 0.103326 | 0.076139 | 1.36 
9  | 0.000000  | -0.011618 | 0.137497 | 0.099446 | 1.38 
10 | 0.000000  | -0.011618 | 0.176550 | 0.125862 | 1.40 
2  | 0.005175  | 0.000000  | 0.000279 | 0.000532 | 0.52 
3  | 0.005175  | 0.000000  | 0.001951 | 0.002130 | 0.92 
4  | 0.005175  | 0.000000  | 0.005297 | 0.004792 | 1.11 
5  | 0.005175  | 0.000000  | 0.010315 | 0.008519 | 1.21 
6  | 0.005175  | 0.000000  | 0.017005 | 0.013311 | 1.28 
7  | 0.005175  | 0.000000  | 0.025369 | 0.019167 | 1.32 
8  | 0.005175  | 0.000000  | 0.035405 | 0.026089 | 1.36 
9  | 0.005175  | 0.000000  | 0.047114 | 0.034075 | 1.38 
10 | 0.005175  | 0.000000  | 0.060495 | 0.043127 | 1.40 
2  | 0.000000  | -0.012991 | 0.000700 | 0.001337 | 0.52 
3  | 0.000000  | -0.012991 | 0.004899 | 0.005346 | 0.92 
4  | 0.000000  | -0.012991 | 0.013296 | 0.012029 | 1.11 
5  | 0.000000  | -0.012991 | 0.025893 | 0.021384 | 1.21 
6  | 0.000000  | -0.012991 | 0.042688 | 0.033413 | 1.28 
7  | 0.000000  | -0.012991 | 0.063682 | 0.048115 | 1.32 
8  | 0.000000  | -0.012991 | 0.088875 | 0.065490 | 1.36 
9  | 0.000000  | -0.012991 | 0.118266 | 0.085537 | 1.38 
10 | 0.000000  | -0.012991 | 0.151857 | 0.108258 | 1.40 
2  | 0.000000  | -0.008269 | 0.000802 | 0.001531 | 0.52 
3  | 0.000000  | -0.008269 | 0.005613 | 0.006125 | 0.92 
4  | 0.000000  | -0.008269 | 0.015235 | 0.013782 | 1.11 
5  | 0.000000  | -0.008269 | 0.029667 | 0.024502 | 1.21 
6  | 0.000000  | -0.008269 | 0.048911 | 0.038284 | 1.28 
7  | 0.000000  | -0.008269 | 0.072966 | 0.055129 | 1.32 
8  | 0.000000  | -0.008269 | 0.101832 | 0.075037 | 1.36 
9  | 0.000000  | -0.008269 | 0.135508 | 0.098008 | 1.38 
10 | 0.000000  | -0.008269 | 0.173996 | 0.124041 | 1.40 
2  | -0.008269 | 0.000000  | 0.000401 | 0.000766 | 0.52 
3  | -0.008269 | 0.000000  | 0.002806 | 0.003063 | 0.92 
4  | -0.008269 | 0.000000  | 0.007617 | 0.006891 | 1.11 
5  | -0.008269 | 0.000000  | 0.014834 | 0.012251 | 1.21 
6  | -0.008269 | 0.000000  | 0.024456 | 0.019142 | 1.28 
7  | -0.008269 | 0.000000  | 0.036483 | 0.027565 | 1.32 
8  | -0.008269 | 0.000000  | 0.050916 | 0.037519 | 1.36 
9  | -0.008269 | 0.000000  | 0.067754 | 0.049004 | 1.38 
10 | -0.008269 | 0.000000  | 0.086998 | 0.062020 | 1.40 
2  | 0.000000  | 0.012461  | 0.000604 | 0.001154 | 0.52 
3  | 0.000000  | 0.012461  | 0.004229 | 0.004615 | 0.92 
4  | 0.000000  | 0.012461  | 0.011478 | 0.010384 | 1.11 
5  | 0.000000  | 0.012461  | 0.022353 | 0.018461 | 1.21 
6  | 0.000000  | 0.012461  | 0.036852 | 0.028845 | 1.28 
7  | 0.000000  | 0.012461  | 0.054975 | 0.041537 | 1.32 
8  | 0.000000  | 0.012461  | 0.076724 | 0.056536 | 1.36 
9  | 0.000000  | 0.012461  | 0.102097 | 0.073843 | 1.38 
10 | 0.000000  | 0.012461  | 0.131095 | 0.093457 | 1.40 
2  | 0.005452  | 0.000000  | 0.000323 | 0.000617 | 0.52 
3  | 0.005452  | 0.000000  | 0.002261 | 0.002468 | 0.92 
4  | 0.005452  | 0.000000  | 0.006138 | 0.005553 | 1.11 
5  | 0.005452  | 0.000000  | 0.011953 | 0.009872 | 1.21 
6  | 0.005452  | 0.000000  | 0.019706 | 0.015424 | 1.28 
7  | 0.005452  | 0.000000  | 0.029397 | 0.022211 | 1.32 
8  | 0.005452  | 0.000000  | 0.041027 | 0.030232 | 1.36 
9  | 0.005452  | 0.000000  | 0.054595 | 0.039486 | 1.38 
10 | 0.005452  | 0.000000  | 0.070101 | 0.049975 | 1.40 
2  | 0.000000  | -0.028561 | 0.001692 | 0.003232 | 0.52 
3  | 0.000000  | -0.028561 | 0.011847 | 0.012929 | 0.92 
4  | 0.000000  | -0.028561 | 0.032155 | 0.029090 | 1.11 
5  | 0.000000  | -0.028561 | 0.062618 | 0.051715 | 1.21 
6  | 0.000000  | -0.028561 | 0.103235 | 0.080805 | 1.28 
7  | 0.000000  | -0.028561 | 0.154007 | 0.116360 | 1.32 
8  | 0.000000  | -0.028561 | 0.214932 | 0.158378 | 1.36 
9  | 0.000000  | -0.028561 | 0.286013 | 0.206862 | 1.38 
10 | 0.000000  | -0.028561 | 0.367247 | 0.261809 | 1.40 
2  | 0.016819  | 0.000000  | 0.001178 | 0.002249 | 0.52 
3  | 0.016819  | 0.000000  | 0.008245 | 0.008998 | 0.92 
4  | 0.016819  | 0.000000  | 0.022378 | 0.020245 | 1.11 
5  | 0.016819  | 0.000000  | 0.043579 | 0.035991 | 1.21 
6  | 0.016819  | 0.000000  | 0.071847 | 0.056236 | 1.28 
7  | 0.016819  | 0.000000  | 0.107181 | 0.080980 | 1.32 
8  | 0.016819  | 0.000000  | 0.149582 | 0.110223 | 1.36 
9  | 0.016819  | 0.000000  | 0.199050 | 0.143965 | 1.38 
10 | 0.016819  | 0.000000  | 0.255585 | 0.182206 | 1.40 
2  | 0.000000  | -0.011618 | 0.000814 | 0.001554 | 0.52 
3  | 0.000000  | -0.011618 | 0.005695 | 0.006215 | 0.92 
4  | 0.000000  | -0.011618 | 0.015458 | 0.013985 | 1.11 
5  | 0.000000  | -0.011618 | 0.030103 | 0.024862 | 1.21 
6  | 0.000000  | -0.011618 | 0.049629 | 0.038846 | 1.28 
7  | 0.000000  | -0.011618 | 0.074037 | 0.055939 | 1.32 
8  | 0.000000  | -0.011618 | 0.103326 | 0.076139 | 1.36 
9  | 0.000000  | -0.011618 | 0.137497 | 0.099446 | 1.38 
10 | 0.000000  | -0.011618 | 0.176550 | 0.125862 | 1.40 
2  | 0.005175  | 0.000000  | 0.000279 | 0.000532 | 0.52 
3  | 0.005175  | 0.000000  | 0.001951 | 0.002130 | 0.92 
4  | 0.005175  | 0.000000  | 0.005297 | 0.004792 | 1.11 
5  | 0.005175  | 0.000000  | 0.010315 | 0.008519 | 1.21 
6  | 0.005175  | 0.000000  | 0.017005 | 0.013311 | 1.28 
7  | 0.005175  | 0.000000  | 0.025369 | 0.019167 | 1.32 
8  | 0.005175  | 0.000000  | 0.035405 | 0.026089 | 1.36 
9  | 0.005175  | 0.000000  | 0.047114 | 0.034075 | 1.38 
10 | 0.005175  | 0.000000  | 0.060495 | 0.043127 | 1.40 
2  | 0.000000  | -0.012991 | 0.000700 | 0.001337 | 0.52 
3  | 0.000000  | -0.012991 | 0.004899 | 0.005346 | 0.92 
4  | 0.000000  | -0.012991 | 0.013296 | 0.012029 | 1.11 
5  | 0.000000  | -0.012991 | 0.025893 | 0.021384 | 1.21 
6  | 0.000000  | -0.012991 | 0.042688 | 0.033413 | 1.28 
7  | 0.000000  | -0.012991 | 0.063682 | 0.048115 | 1.32 
8  | 0.000000  | -0.012991 | 0.088875 | 0.065490 | 1.36 
9  | 0.000000  | -0.012991 | 0.118266 | 0.085537 | 1.38 
10 | 0.000000  | -0.012991 | 0.151857 | 0.108258 | 1.40 
2  | 0.000000  | -0.008269 | 0.000802 | 0.001531 | 0.52 
3  | 0.000000  | -0.008269 | 0.005613 | 0.006125 | 0.92 
4  | 0.000000  | -0.008269 | 0.015235 | 0.013782 | 1.11 
5  | 0.000000  | -0.008269 | 0.029667 | 0.024502 | 1.21 
6  | 0.000000  | -0.008269 | 0.048911 | 0.038284 | 1.28 
7  | 0.000000  | -0.008269 | 0.072966 | 0.055129 | 1.32 
8  | 0.000000  | -0.008269 | 0.101832 | 0.075037 | 1.36 
9  | 0.000000  | -0.008269 | 0.135508 | 0.098008 | 1.38 
10 | 0.000000  | -0.008269 | 0.173996 | 0.124041 | 1.40 
2  | -0.008269 | 0.000000  | 0.000401 | 0.000766 | 0.52 
3  | -0.008269 | 0.000000  | 0.002806 | 0.003063 | 0.92 
4  | -0.008269 | 0.000000  | 0.007617 | 0.006891 | 1.11 
5  | -0.008269 | 0.000000  | 0.014834 | 0.012251 | 1.21 
6  | -0.008269 | 0.000000  | 0.024456 | 0.019142 | 1.28 
7  | -0.008269 | 0.000000  | 0.036483 | 0.027565 | 1.32 
8  | -0.008269 | 0.000000  | 0.050916 | 0.037519 | 1.36 
9  | -0.008269 | 0.000000  | 0.067754 | 0.049004 | 1.38 
10 | -0.008269 | 0.000000  | 0.086998 | 0.062020 | 1.40 
2  | 0.000000  | 0.012461  | 0.000604 | 0.001154 | 0.52 
3  | 0.000000  | 0.012461  | 0.004229 | 0.004615 | 0.92 
4  | 0.000000  | 0.012461  | 0.011478 | 0.010384 | 1.11 
5  | 0.000000  | 0.012461  | 0.022353 | 0.018461 | 1.21 
6  | 0.000000  | 0.012461  | 0.036852 | 0.028845 | 1.28 
7  | 0.000000  | 0.012461  | 0.054975 | 0.041537 | 1.32 
8  | 0.000000  | 0.012461  | 0.076724 | 0.056536 | 1.36 
9  | 0.000000  | 0.012461  | 0.102097 | 0.073843 | 1.38 
10 | 0.000000  | 0.012461  | 0.131095 | 0.093457 | 1.40 
2  | 0.005452  | 0.000000  | 0.000323 | 0.000617 | 0.52 
3  | 0.005452  | 0.000000  | 0.002261 | 0.002468 | 0.92 
4  | 0.005452  | 0.000000  | 0.006138 | 0.005553 | 1.11 
5  | 0.005452  | 0.000000  | 0.011953 | 0.009872 | 1.21 
6  | 0.005452  | 0.000000  | 0.019706 | 0.015424 | 1.28 
7  | 0.005452  | 0.000000  | 0.029397 | 0.022211 | 1.32 
8  | 0.005452  | 0.000000  | 0.041027 | 0.030232 | 1.36 
9  | 0.005452  | 0.000000  | 0.054595 | 0.039486 | 1.38 
10 | 0.005452  | 0.000000  | 0.070101 | 0.049975 | 1.40 
2  | 0.000000  | -0.028561 | 0.001692 | 0.003232 | 0.52 
3  | 0.000000  | -0.028561 | 0.011847 | 0.012929 | 0.92 
4  | 0.000000  | -0.028561 | 0.032155 | 0.029090 | 1.11 
5  | 0.000000  | -0.028561 | 0.062618 | 0.051715 | 1.21 
6  | 0.000000  | -0.028561 | 0.103235 | 0.080805 | 1.28 
7  | 0.000000  | -0.028561 | 0.154007 | 0.116360 | 1.32 
8  | 0.000000  | -0.028561 | 0.214932 | 0.158378 | 1.36 
9  | 0.000000  | -0.028561 | 0.286013 | 0.206862 | 1.38 
10 | 0.000000  | -0.028561 | 0.367247 | 0.261809 | 1.40 
2  | 0.000000  | 0.016819  | 0.002356 | 0.004499 | 0.52 
3  | 0.000000  | 0.016819  | 0.016489 | 0.017996 | 0.92 
4  | 0.000000  | 0.016819  | 0.044757 | 0.040490 | 1.11 
5  | 0.000000  | 0.016819  | 0.087158 | 0.071983 | 1.21 
6  | 0.000000  | 0.016819  | 0.143693 | 0.112473 | 1.28 
7  | 0.000000  | 0.016819  | 0.214362 | 0.161961 | 1.32 
8  | 0.000000  | 0.016819  | 0.299164 | 0.220447 | 1.36 
9  | 0.000000  | 0.016819  | 0.398100 | 0.287930 | 1.38 
10 | 0.000000  | 0.016819  | 0.511170 | 0.364412 | 1.40 
2  | 0.016819  | 0.000000  | 0.001178 | 0.002249 | 0.52 
3  | 0.016819  | 0.000000  | 0.008245 | 0.008998 | 0.92 
4  | 0.016819  | 0.000000  | 0.022378 | 0.020245 | 1.11 
5  | 0.016819  | 0.000000  | 0.043579 | 0.035991 | 1.21 
6  | 0.016819  | 0.000000  | 0.071847 | 0.056236 | 1.28 
7  | 0.016819  | 0.000000  | 0.107181 | 0.080980 | 1.32 
8  | 0.016819  | 0.000000  | 0.149582 | 0.110223 | 1.36 
9  | 0.016819  | 0.000000  | 0.199050 | 0.143965 | 1.38 
10 | 0.016819  | 0.000000  | 0.255585 | 0.182206 | 1.40 
2  | 0.000000  | -0.011618 | 0.000814 | 0.001554 | 0.52 
3  | 0.000000  | -0.011618 | 0.005695 | 0.006215 | 0.92 
4  | 0.000000  | -0.011618 | 0.015458 | 0.013985 | 1.11 
5  | 0.000000  | -0.011618 | 0.030103 | 0.024862 | 1.21 
6  | 0.000000  | -0.011618 | 0.049629 | 0.038846 | 1.28 
7  | 0.000000  | -0.011618 | 0.074037 | 0.055939 | 1.32 
8  | 0.000000  | -0.011618 | 0.103326 | 0.076139 | 1.36 
9  | 0.000000  | -0.011618 | 0.137497 | 0.099446 | 1.38 
10 | 0.000000  | -0.011618 | 0.176550 | 0.125862 | 1.40 
2  | 0.000000  | 0.005175  | 0.000558 | 0.001065 | 0.52 
3  | 0.000000  | 0.005175  | 0.003903 | 0.004259 | 0.92 
4  | 0.000000  | 0.005175  | 0.010594 | 0.009584 | 1.11 
5  | 0.000000  | 0.005175  | 0.020630 | 0.017038 | 1.21 
6  | 0.000000  | 0.005175  | 0.034011 | 0.026621 | 1.28 
7  | 0.000000  | 0.005175  | 0.050738 | 0.038335 | 1.32 
8  | 0.000000  | 0.005175  | 0.070810 | 0.052178 | 1.36 
9  | 0.000000  | 0.005175  | 0.094227 | 0.068151 | 1.38 
10 | 0.000000  | 0.005175  | 0.120990 | 0.086253 | 1.40 
2  | 0.005175  | 0.000000  | 0.000279 | 0.000532 | 0.52 
3  | 0.005175  | 0.000000  | 0.001951 | 0.002130 | 0.92 
4  | 0.005175  | 0.000000  | 0.005297 | 0.004792 | 1.11 
5  | 0.005175  | 0.000000  | 0.010315 | 0.008519 | 1.21 
6  | 0.005175  | 0.000000  | 0.017005 | 0.013311 | 1.28 
7  | 0.005175  | 0.000000  | 0.025369 | 0.019167 | 1.32 
8  | 0.005175  | 0.000000  | 0.035405 | 0.026089 | 1.36 
9  | 0.005175  | 0.000000  | 0.047114 | 0.034075 | 1.38 
10 | 0.005175  | 0.000000  | 0.060495 | 0.043127 | 1.40 
2  | 0.000000  | -0.012991 | 0.000700 | 0.001337 | 0.52 
3  | 0.000000  | -0.012991 | 0.004899 | 0.005346 | 0.92 
4  | 0.000000  | -0.012991 | 0.013296 | 0.012029 | 1.11 
5  | 0.000000  | -0.012991 | 0.025893 | 0.021384 | 1.21 
6  | 0.000000  | -0.012991 | 0.042688 | 0.033413 | 1.28 
7  | 0.000000  | -0.012991 | 0.063682 | 0.048115 | 1.32 
8  | 0.000000  | -0.012991 | 0.088875 | 0.065490 | 1.36 
9  | 0.000000  | -0.012991 | 0.118266 | 0.085537 | 1.38 
10 | 0.000000  | -0.012991 | 0.151857 | 0.108258 | 1.40 
2  | -0.008269 | 0.000000  | 0.000401 | 0.000766 | 0.52 
3  | -0.008269 | 0.000000  | 0.002806 | 0.003063 | 0.92 
4  | -0.008269 | 0.000000  | 0.007617 | 0.006891 | 1.11 
5  | -0.008269 | 0.000000  | 0.014834 | 0.012251 | 1.21 
6  | -0.008269 | 0.000000  | 0.024456 | 0.019142 | 1.28 
7  | -0.008269 | 0.000000  | 0.036483 | 0.027565 | 1.32 
8  | -0.008269 | 0.000000  | 0.050916 | 0.037519 | 1.36 
9  | -0.008269 | 0.000000  | 0.067754 | 0.049004 | 1.38 
10 | -0.008269 | 0.000000  | 0.086998 | 0.062020 | 1.40 
2  | 0.000000  | 0.012461  | 0.000604 | 0.001154 | 0.52 
3  | 0.000000  | 0.012461  | 0.004229 | 0.004615 | 0.92 
4  | 0.000000  | 0.012461  | 0.011478 | 0.010384 | 1.11 
5  | 0.000000  | 0.012461  | 0.022353 | 0.018461 | 1.21 
6  | 0.000000  | 0.012461  | 0.036852 | 0.028845 | 1.28 
7  | 0.000000  | 0.012461  | 0.054975 | 0.041537 | 1.32 
8  | 0.000000  | 0.012461  | 0.076724 | 0.056536 | 1.36 
9  | 0.000000  | 0.012461  | 0.102097 | 0.073843 | 1.38 
10 | 0.000000  | 0.012461  | 0.131095 | 0.093457 | 1.40 
2  | 0.005452  | 0.000000  | 0.000323 | 0.000617 | 0.52 
3  | 0.005452  | 0.000000  | 0.002261 | 0.002468 | 0.92 
4  | 0.005452  | 0.000000  | 0.006138 | 0.005553 | 1.11 
5  | 0.005452  | 0.000000  | 0.011953 | 0.009872 | 1.21 
6  | 0.005452  | 0.000000  | 0.019706 | 0.015424 | 1.28 
7  | 0.005452  | 0.000000  | 0.029397 | 0.022211 | 1.32 
8  | 0.005452  | 0.000000  | 0.041027 | 0.030232 | 1.36 
9  | 0.005452  | 0.000000  | 0.054595 | 0.039486 | 1.38 
10 | 0.005452  | 0.000000  | 0.070101 | 0.049975 | 1.40 
2  | 0.000000  | -0.028561 | 0.001692 | 0.003232 | 0.52 
3  | 0.000000  | -0.028561 | 0.011847 | 0.012929 | 0.92 
4  | 0.000000  | -0.028561 | 0.032155 | 0.029090 | 1.11 
5  | 0.000000  | -0.028561 | 0.062618 | 0.051715 | 1.21 
6  | 0.000000  | -0.028561 | 0.103235 | 0.080805 | 1.28 
7  | 0.000000  | -0.028561 | 0.154007 | 0.116360 | 1.32 
8  | 0.000000  | -0.028561 | 0.214932 | 0.158378 | 1.36 
9  | 0.000000  | -0.028561 | 0.286013 | 0.206862 | 1.38 
10 | 0.000000  | -0.028561 | 0.367247 | 0.261809 | 1.40 
2  | 0.000000  | 0.016819  | 0.002356 | 0.004499 | 0.52 
3  | 0.000000  | 0.016819  | 0.016489 | 0.017996 | 0.92 
4  | 0.000000  | 0.016819  | 0.044757 | 0.040490 | 1.11 
5  | 0.000000  | 0.016819  | 0.087158 | 0.071983 | 1.21 
6  | 0.000000  | 0.016819  | 0.143693 | 0.112473 | 1.28 
7  | 0.000000  | 0.016819  | 0.214362 | 0.161961 | 1.32 
8  | 0.000000  | 0.016819  | 0.299164 | 0.220447 | 1.36 
9  | 0.000000  | 0.016819  | 0.398100 | 0.287930 | 1.38 
10 | 0.000000  | 0.016819  | 0.511170 | 0.364412 | 1.40 
2  | 0.016819  | 0.000000  | 0.001178 | 0.002249 | 0.52 
3  | 0.016819  | 0.000000  | 0.008245 | 0.008998 | 0.92 
4  | 0.016819  | 0.000000  | 0.022378 | 0.020245 | 1.11 
5  | 0.016819  | 0.000000  | 0.043579 | 0.035991 | 1.21 
6  | 0.016819  | 0.000000  | 0.071847 | 0.056236 | 1.28 
7  | 0.016819  | 0.000000  | 0.107181 | 0.080980 | 1.32 
8  | 0.016819  | 0.000000  | 0.149582 | 0.110223 | 1.36 
9  | 0.016819  | 0.000000  | 0.199050 | 0.143965 | 1.38 
10 | 0.016819  | 0.000000  | 0.255585 | 0.182206 | 1.40 
2  | 0.000000  | -0.011618 | 0.000814 | 0.001554 | 0.52 
3  | 0.000000  | -0.011618 | 0.005695 | 0.006215 | 0.92 
4  | 0.000000  | -0.011618 | 0.015458 | 0.013985 | 1.11 
5  | 0.000000  | -0.011618 | 0.030103 | 0.024862 | 1.21 
6  | 0.000000  | -0.011618 | 0.049629 | 0.038846 | 1.28 
7  | 0.000000  | -0.011618 | 0.074037 | 0.055939 | 1.32 
8  | 0.000000  | -0.011618 | 0.103326 | 0.076139 | 1.36 
9  | 0.000000  | -0.011618 | 0.137497 | 0.099446 | 1.38 
10 | 0.000000  | -0.011618 | 0.176550 | 0.125862 | 1.40 
2  | 0.000000  | 0.005175  | 0.000558 | 0.001065 | 0.52 
3  | 0.000000  | 0.005175  | 0.003903 | 0.004259 | 0.92 
4  | 0.000000  | 0.005175  | 0.010594 | 0.009584 | 1.11 
5  | 0.000000  | 0.005175  | 0.020630 | 0.017038 | 1.21 
6  | 0.000000  | 0.005175  | 0.034011 | 0.026621 | 1.28 
7  | 0.000000  | 0.005175  | 0.050738 | 0.038335 | 1.32 
8  | 0.000000  | 0.005175  | 0.070810 | 0.052178 | 1.36 
9  | 0.000000  | 0.005175  | 0.094227 | 0.068151 | 1.38 
10 | 0.000000  | 0.005175  | 0.120990 | 0.086253 | 1.40 
2  | 0.005175  | 0.000000  | 0.000279 | 0.000532 | 0.52 
3  | 0.005175  | 0.000000  | 0.001951 | 0.002130 | 0.92 
4  | 0.005175  | 0.000000  | 0.005297 | 0.004792 | 1.11 
5  | 0.005175  | 0.000000  | 0.010315 | 0.008519 | 1.21 
6  | 0.005175  | 0.000000  | 0.017005 | 0.013311 | 1.28 
7  | 0.005175  | 0.000000  | 0.025369 | 0.019167 | 1.32 
8  | 0.005175  | 0.000000  | 0.035405 | 0.026089 | 1.36 
9  | 0.005175  | 0.000000  | 0.047114 | 0.034075 | 1.38 
10 | 0.005175  | 0.000000  | 0.060495 | 0.043127 | 1.40 
2  | 0.000000  | -0.012991 | 0.000700 | 0.001337 | 0.52 
3  | 0.000000  | -0.012991 | 0.004899 | 0.005346 | 0.92 
4  | 0.000000  | -0.012991 | 0.013296 | 0.012029 | 1.11 
5  | 0.000000  | -0.012991 | 0.025893 | 0.021384 | 1.21 
6  | 0.000000  | -0.012991 | 0.042688 | 0.033413 | 1.28 
7  | 0.000000  | -0.012991 | 0.063682 | 0.048115 | 1.32 
8  | 0.000000  | -0.012991 | 0.088875 | 0.065490 | 1.36 
9  | 0.000000  | -0.012991 | 0.118266 | 0.085537 | 1.38 
10 | 0.000000  | -0.012991 | 0.151857 | 0.108258 | 1.40 
2  | -0.008269 | 0.000000  | 0.000401 | 0.000766 | 0.52 
3  | -0.008269 | 0.000000  | 0.002806 | 0.003063 | 0.92 
4  | -0.008269 | 0.000000  | 0.007617 | 0.006891 | 1.11 
5  | -0.008269 | 0.000000  | 0.014834 | 0.012251 | 1.21 
6  | -0.008269 | 0.000000  | 0.024456 | 0.019142 | 1.28 
7  | -0.008269 | 0.000000  | 0.036483 | 0.027565 | 1.32 
8  | -0.008269 | 0.000000  | 0.050916 | 0.037519 | 1.36 
9  | -0.008269 | 0.000000  | 0.067754 | 0.049004 | 1.38 
10 | -0.008269 | 0.000000  | 0.086998 | 0.062020 | 1.40 
2  | 0.000000  | 0.012461  | 0.000604 | 0.001154 | 0.52 
3  | 0.000000  | 0.012461  | 0.004229 | 0.004615 | 0.92 
4  | 0.000000  | 0.012461  | 0.011478 | 0.010384 | 1.11 
5  | 0.000000  | 0.012461  | 0.022353 | 0.018461 | 1.21 
6  | 0.000000  | 0.012461  | 0.036852 | 0.028845 | 1.28 
7  | 0.000000  | 0.012461  | 0.054975 | 0.041537 | 1.32 
8  | 0.000000  | 0.012461  | 0.076724 | 0.056536 | 1.36 
9  | 0.000000  | 0.012461  | 0.102097 | 0.073843 | 1.38 
10 | 0.000000  | 0.012461  | 0.131095 | 0.093457 | 1.40 
2  | 0.005452  | 0.000000  | 0.000323 | 0.000617 | 0.52 
3  | 0.005452  | 0.000000  | 0.002261 | 0.002468 | 0.92 
4  | 0.005452  | 0.000000  | 0.006138 | 0.005553 | 1.11 
5  | 0.005452  | 0.000000  | 0.011953 | 0.009872 | 1.21 
6  | 0.005452  | 0.000000  | 0.019706 | 0.015424 | 1.28 
7  | 0.005452  | 0.000000  | 0.029397 | 0.022211 | 1.32 
8  | 0.005452  | 0.000000  | 0.041027 | 0.030232 | 1.36 
9  | 0.005452  | 0.000000  | 0.054595 | 0.039486 | 1.38 
10 | 0.005452  | 0.000000  | 0.070101 | 0.049975 | 1.40 
2  | 0.000000  | -0.028561 | 0.001692 | 0.003232 | 0.52 
3  | 0.000000  | -0.028561 | 0.011847 | 0.012929 | 0.92 
4  | 0.000000  | -0.028561 | 0.032155 | 0.029090 | 1.11 
5  | 0.000000  | -0.028561 | 0.062618 | 0.051715 | 1.21 
6  | 0.000000  | -0.028561 | 0.103235 | 0.080805 | 1.28 
7  | 0.000000  | -0.028561 | 0.154007 | 0.116360 | 1.32 
8  | 0.000000  | -0.028561 | 0.214932 | 0.158378 | 1.36 
9  | 0.000000  | -0.028561 | 0.286013 | 0.206862 | 1.38 
10 | 0.000000  | -0.028561 | 0.367247 | 0.261809 | 1.40 
2  | -0.016683 | -0.006722 | 0.125433 | 0.092286 | 1.36 
3  | -0.016683 | -0.006722 | 0.166423 | 0.120225 | 1.38 
4  | -0.016683 | -0.006722 | 0.213208 | 0.151854 | 1.40 
5  | -0.016683 | -0.006722 | 0.265788 | 0.187173 | 1.42 
6  | -0.016683 | -0.006722 | 0.324164 | 0.226181 | 1.43 
7  | -0.016683 | -0.006722 | 0.388335 | 0.268878 | 1.44 
